Packdatum;Filialen;Bereich;;;;;
2018-04-04;46;DPS;;;;;
2018-04-05;85;DPS;;;;;
2018-04-06;117;DPS;;;;;
2018-04-07;66;DPS;;;;;
2018-04-09;113;DPS;;;;;
2018-04-10;76;DPS;;;;;
2018-04-11;92;DPS;;;;;
2018-04-12;39;DPS;;;;;
2018-04-13;98;DPS;;;;;
2018-04-15;24;DPS;;;;;
2018-04-16;92;DPS;;;;;
2018-04-17;119;DPS;;;;;
2018-04-18;146;DPS;;;;;
2018-04-19;92;DPS;;;;;
2018-04-20;104;DPS;;;;;
2018-04-21;5;DPS;;;;;
2018-04-22;25;DPS;;;;;
2018-04-23;88;DPS;;;;;
2018-04-24;113;DPS;;;;;
2018-04-25;75;DPS;;;;;
2018-04-26;99;DPS;;;;;
2018-04-27;63;DPS;;;;;
2018-04-28;127;DPS;;;;;
2018-05-01;2;DPS;;;;;
2018-05-02;161;DPS;;;;;
2018-05-03;154;DPS;;;;;
2018-05-04;111;DPS;;;;;
2018-05-05;37;DPS;;;;;
2018-05-07;114;DPS;;;;;
2018-05-08;103;DPS;;;;;
2018-05-09;69;DPS;;;;;
2018-05-11;115;DPS;;;;;
2018-05-12;65;DPS;;;;;
2018-05-14;78;DPS;;;;;
2018-05-15;90;DPS;;;;;
2018-05-16;119;DPS;;;;;
2018-05-17;99;DPS;;;;;
2018-05-18;137;DPS;;;;;
2018-05-19;91;DPS;;;;;
2018-05-22;126;DPS;;;;;
2018-05-23;113;DPS;;;;;
2018-05-24;47;DPS;;;;;
2018-05-25;67;DPS;;;;;
2018-05-28;101;DPS;;;;;
2018-05-29;147;DPS;;;;;
2018-05-30;150;DPS;;;;;
2018-05-31;143;DPS;;;;;
2018-06-01;148;DPS;;;;;
2018-06-02;19;DPS;;;;;
2018-06-04;102;DPS;;;;;
2018-06-05;146;DPS;;;;;
2018-06-06;135;DPS;;;;;
2018-06-07;136;DPS;;;;;
2018-06-08;107;DPS;;;;;
2018-06-09;2;DPS;;;;;
2018-06-11;138;DPS;;;;;
2018-06-12;147;DPS;;;;;
2018-06-13;144;DPS;;;;;
2018-06-14;129;DPS;;;;;
2018-06-15;99;DPS;;;;;
2018-06-18;110;DPS;;;;;
2018-06-19;123;DPS;;;;;
2018-06-20;93;DPS;;;;;
2018-06-21;48;DPS;;;;;
2018-06-22;59;DPS;;;;;
2018-06-23;2;DPS;;;;;
2018-06-25;88;DPS;;;;;
2018-06-26;83;DPS;;;;;
2018-06-27;123;DPS;;;;;
2018-06-28;131;DPS;;;;;
2018-06-29;100;DPS;;;;;
2018-06-30;3;DPS;;;;;
2018-07-02;112;DPS;;;;;
2018-07-03;117;DPS;;;;;
2018-07-04;107;DPS;;;;;
2018-07-05;127;DPS;;;;;
2018-07-06;146;DPS;;;;;
2018-07-07;12;DPS;;;;;
2018-07-09;116;DPS;;;;;
