Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-03-16;18932;18932;0;0;MPS
2015-03-17;51864;51016;848;0;DPS
2015-03-17;13849;9684;4165;0;MAN
2015-03-17;11883;11855;28;0;MPS
2015-03-18;52786;51836;950;0;DPS
2015-03-18;9976;8857;1119;0;MAN
2015-03-18;13862;13771;91;0;MPS
2015-03-19;66683;65667;1016;0;DPS
2015-03-19;13064;12944;120;0;MAN
2015-03-19;18612;18468;144;0;MPS
2015-03-20;52587;51830;757;0;DPS
2015-03-20;10105;10075;30;0;MAN
2015-03-20;12780;12704;76;0;MPS
2015-03-21;23412;23018;394;0;DPS
2015-03-21;4600;4593;7;0;MAN
2015-03-21;5560;5560;0;0;MPS
2015-03-23;81374;80261;1113;0;DPS
2015-03-23;15327;15303;24;0;MAN
2015-03-23;19200;19200;0;0;MPS
2015-03-24;48755;47487;1268;0;DPS
2015-03-24;12247;11081;1166;0;MAN
2015-03-24;14410;14157;253;0;MPS
2015-03-25;51332;50020;1312;0;DPS
2015-03-25;10488;10389;99;0;MAN
2015-03-25;14680;13947;732;1;MPS
2015-03-26;70762;69585;1177;0;DPS
2015-03-26;13763;13113;650;0;MAN
2015-03-26;24929;18369;6559;1;MPS
2015-03-27;56219;55317;902;0;DPS
2015-03-27;11962;10286;1676;0;MAN
2015-03-27;14311;14235;76;0;MPS
2015-03-28;32335;31705;630;0;DPS
2015-03-28;4880;4872;8;0;MAN
2015-03-28;7104;7082;21;1;MPS
2015-03-30;89218;88063;1155;0;DPS
2015-03-30;18086;15800;2286;0;MAN
2015-03-30;22130;22130;0;0;MPS
2015-03-31;57224;56286;938;0;DPS
2015-03-31;11815;11753;62;0;MAN
2015-03-31;15992;15992;0;0;MPS
2015-04-01;58977;53584;5393;0;DPS
2015-04-01;11824;11797;27;0;MAN
2015-04-01;16351;14167;2184;0;MPS
2015-04-02;60927;59795;1132;0;DPS
2015-04-02;12438;12426;12;0;MAN
2015-04-02;14246;14116;130;0;MPS
2015-04-03;15756;15343;413;0;DPS
2015-04-03;7403;3510;3893;0;MAN
2015-04-03;3679;3679;0;0;MPS
2015-04-04;15795;15616;179;0;DPS
2015-04-04;2866;2859;7;0;MAN
2015-04-04;4075;4074;1;0;MPS
2015-04-07;74550;73753;797;0;DPS
2015-04-07;17027;13128;3899;0;MAN
2015-04-07;18362;18362;0;0;MPS
2015-04-08;75936;74474;1462;0;DPS
2015-04-08;14892;14874;18;0;MAN
2015-04-08;19953;19947;6;0;MPS
2015-04-09;85054;83191;1863;0;DPS
2015-04-09;22598;14584;8014;0;MAN
2015-04-09;20961;20182;779;0;MPS
2015-04-10;76109;75256;853;0;DPS
2015-04-10;17002;12725;4277;0;MAN
2015-04-10;15818;15818;0;0;MPS
2015-04-11;66173;65374;799;0;DPS
2015-04-11;10436;10423;13;0;MAN
2015-04-11;13503;13503;0;0;MPS
2015-04-13;61142;60245;897;0;DPS
2015-04-13;10025;9858;167;0;MAN
2015-04-13;13160;13124;36;0;MPS
2015-04-14;56871;56294;577;0;DPS
2015-04-14;8763;8724;39;0;MAN
2015-04-14;13391;13210;181;0;MPS
2015-04-15;49118;47757;1361;0;DPS
2015-04-15;8124;8101;23;0;MAN
2015-04-15;11695;11663;32;0;MPS
2015-04-16;61841;60931;910;0;DPS
2015-04-16;15927;12224;3703;0;MAN
2015-04-16;16398;16007;391;0;MPS
2015-04-17;50609;49767;842;0;DPS
2015-04-17;9363;9342;21;0;MAN
2015-04-17;11672;11671;1;0;MPS
2015-04-18;31861;31215;646;0;DPS
2015-04-18;5469;5464;5;0;MAN
2015-04-18;7414;7414;0;0;MPS
2015-04-20;81208;79651;1557;0;DPS
2015-04-20;13162;12597;565;0;MAN
2015-04-20;18665;18640;25;0;MPS
2015-04-21;55123;53475;1648;0;DPS
2015-04-21;13971;9472;4499;0;MAN
2015-04-21;15033;15014;18;1;MPS
2015-04-22;45695;44346;1349;0;DPS
2015-04-22;9565;8150;1415;0;MAN
2015-04-22;11865;11339;526;0;MPS
2015-04-23;59092;58101;991;0;DPS
2015-04-23;14453;11394;3059;0;MAN
2015-04-23;16482;16482;0;0;MPS
2015-04-24;52034;50891;1143;0;DPS
2015-04-24;13168;12044;1124;0;MAN
2015-04-24;14324;14249;73;2;MPS
2015-04-25;34420;33871;549;0;DPS
